City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
laguna,75,26,27.52,78.8,6.93
kaitangata,80,72,-46.28,52.59,21.65
hobyo,32,93,5.35,75.72,3.42
christchurch,0,41,-43.53,59.0,2.24
ushuaia,75,86,-54.81,39.2,6.93
rikitea,92,100,-23.12,78.96,8.46
karratha,8,26,-20.74,94.71,5.77
new norfolk,0,52,-42.78,66.2,8.05
jamestown,0,22,-33.21,84.99,9.01
saskylakh,80,91,71.97,22.98,21.43
yerofey pavlovich,20,32,53.97,50.61,3.42
tiksi,0,85,71.64,26.94,6.55
castro,92,100,-42.48,46.56,7.0
los llanos de aridane,92,63,28.66,64.4,3.36
busselton,68,100,-33.64,64.92,22.1
cape town,0,100,-33.93,51.8,4.7
kapaa,20,78,22.08,78.8,13.87
castro,92,100,-42.48,46.56,7.0
ushuaia,75,86,-54.81,39.2,6.93
rikitea,92,100,-23.12,78.96,8.46
kavieng,32,100,-2.57,82.74,5.44
new norfolk,0,52,-42.78,66.2,8.05
atuona,0,100,-9.8,80.94,14.27
vuktyl,0,73,63.86,13.98,3.53
rikitea,92,100,-23.12,78.96,8.46
oksfjord,88,86,70.24,33.8,2.08
dikson,76,100,73.51,12.72,18.07
hobart,0,52,-42.88,66.2,8.05
mar del plata,44,49,-46.43,60.06,19.53
maragogi,92,100,-9.01,72.57,5.77
ushuaia,75,86,-54.81,39.2,6.93
bluff,0,68,-23.58,77.88,10.47
hermanus,12,91,-34.42,42.69,2.75
vaini,0,64,15.34,80.31,3.65
bow island,20,26,49.87,55.4,29.97
juba,12,68,57.82,42.8,11.41
khatanga,68,93,71.98,14.61,15.05
bubanza,88,97,-3.08,61.59,2.3
carnarvon,8,72,-30.97,39.81,2.75
ilulissat,92,85,69.22,24.8,3.36
bereda,80,93,43.27,55.4,6.93
barrow,0,70,-38.31,68.61,12.15
bethel,75,77,60.79,44.6,14.99
fortuna,0,77,38.18,60.8,2.24
puerto ayora,0,97,-0.74,76.53,8.68
xining,92,100,36.62,43.68,3.42
barrow,0,70,-38.31,68.61,12.15
poum,0,83,41.28,39.36,2.42
victoria,75,83,5.28,84.2,2.24
pevek,8,87,69.7,28.29,3.31
airai,20,57,-8.93,82.83,3.09
ranong,0,83,9.96,80.6,5.66
castro,92,100,-42.48,46.56,7.0
aykhal,88,90,65.95,35.76,12.26
hilo,90,88,19.71,73.4,14.99
verkhoshizhemye,92,94,58.01,41.97,22.77
new norfolk,0,52,-42.78,66.2,8.05
bethel,75,77,60.79,44.6,14.99
golfito,64,83,8.64,83.55,4.21
ostrovnoy,76,79,68.05,10.38,3.98
henties bay,44,100,-22.12,60.42,4.88
guerrero negro,64,58,27.97,66.99,5.99
hobart,0,52,-42.88,66.2,8.05
payson,1,34,40.04,64.4,6.93
bethel,75,77,60.79,44.6,14.99
punta arenas,0,100,-53.16,39.2,23.04
puerto del rosario,20,72,28.5,64.4,6.93
khatanga,68,93,71.98,14.61,15.05
cape town,0,100,-33.93,51.8,4.7
alofi,68,100,-19.06,81.84,9.8
ruteng,32,83,-8.61,82.74,3.65
moose factory,1,100,51.26,21.2,6.93
hobart,0,52,-42.88,66.2,8.05
kavieng,32,100,-2.57,82.74,5.44
arraial do cabo,88,90,-22.97,73.38,12.26
punta arenas,0,100,-53.16,39.2,23.04
punta arenas,0,100,-53.16,39.2,23.04
ushuaia,75,86,-54.81,39.2,6.93
pemba,8,100,-12.97,81.39,20.65
souillac,0,72,45.6,60.8,3.36
arraial do cabo,88,90,-22.97,73.38,12.26
saskylakh,80,91,71.97,22.98,21.43
victoria,75,83,5.28,84.2,2.24
albany,20,29,42.65,48.2,12.75
sorland,88,98,67.67,41.79,5.88
rikitea,92,100,-23.12,78.96,8.46
horodnytsya,0,65,50.81,45.3,9.8
busselton,68,100,-33.64,64.92,22.1
muros,0,93,42.77,53.6,3.98
cody,1,20,44.53,66.2,11.41
gokak,0,35,16.17,82.65,1.41
punta arenas,0,100,-53.16,39.2,23.04
beringovskiy,0,100,63.05,25.68,18.3
castro,92,100,-42.48,46.56,7.0
cape town,0,100,-33.93,51.8,4.7
amapa,20,94,15.09,80.6,11.41
haines junction,0,72,60.75,28.11,4.21
barrow,0,70,-38.31,68.61,12.15
husum,8,100,54.49,42.8,1.12
busselton,68,100,-33.64,64.92,22.1
jamestown,0,22,-33.21,84.99,9.01
atuona,0,100,-9.8,80.94,14.27
geraldton,5,29,49.72,50.0,10.29
khani,75,93,41.96,48.2,1.12
longyearbyen,75,73,78.22,23.0,19.46
ushuaia,75,86,-54.81,39.2,6.93
albany,20,29,42.65,48.2,12.75
sechura,0,77,-5.56,70.59,11.25
thompson,90,37,55.74,53.6,3.36
penal,20,83,10.17,77.0,3.36
sao joao da barra,76,100,-21.64,76.17,14.16
tiksi,0,85,71.64,26.94,6.55
sitka,88,96,37.17,47.91,6.78
matagami,12,90,9.67,64.92,3.31
nanortalik,48,88,60.14,34.41,18.19
kapaa,20,78,22.08,78.8,13.87
punta arenas,0,100,-53.16,39.2,23.04
